obsID,cross_checked,reference,title,confirmation_bias,DOI,journal,paperID,subsetID,speciesID,common_name,species,species_cleaned,species_class,year,region,country,lat_lon,fitness_main_focus,study_type,shared_group,dispersal_type,dispersal_phase,fitness_metric,composite_variable,study_design,age_class,sex,n,group_1,group_2,n_group_1,n_group_2,mean_group_1,mean_group_2,mean_units,type_of_variance,variance_group_1,variance_group_2,function_needed,direction_change,effect_size,effect_size_details,effect_size_type,effect_size_value,effect_size_direction,effect_size_df,effect_size_p_value,effect_size_p_value_numeric,effect_size_type_of_variance,effect_size_variance,data_source,comments
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c052,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,clutch size,N,gradient,A,F,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.01,negative = non-disperser did better than disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously successful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c052,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,number of fledglings,N,gradient,A,F,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.04,negative = non-disperser did better than disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously successful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c052,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,number of recruits,N,gradient,A,F,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.08,negative = non-disperser did better than disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously successful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c052,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,survival,N,gradient,A,F,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.02,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously successful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c053,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,clutch size,N,gradient,A,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.01,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously unsuccessful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c053,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,number of fledglings,N,gradient,A,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.17,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously unsuccessful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c053,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,number of recruits,N,gradient,A,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.58,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously unsuccessful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c053,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,survival,N,gradient,A,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.51,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously unsuccessful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c054,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,clutch size,N,gradient,Y,F,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.02,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously successful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c054,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,number of fledglings,N,gradient,Y,F,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.02,negative = non-disperser did better than disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously successful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c054,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,number of recruits,N,gradient,Y,F,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.09,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously successful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c054,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,survival,N,gradient,Y,F,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.35,negative = non-disperser did better than disperser,NA,<0.05,0.05,NA,NA,table 4 page 315,previously successful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c056,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,clutch size,N,gradient,Y,F,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.42,positive = disperser did better than non-disperser,NA,<0.01,0.01,NA,NA,table 4 page 315,previously unsuccessful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c056,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,number of fledglings,N,gradient,Y,F,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.14,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously unsuccessful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c056,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,number of recruits,N,gradient,Y,F,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.49,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously unsuccessful
ARM,SN,Pårt & Gustafsson 1989,Breeding Dispersal in the Collared Flycatcher (Ficedula albicollis): Possible Causes and Reproductive Consequences,N,10.2307/5002,Journal of Animal Ecology,p022,c056,s019,collared flycatcher,Ficedula albicollis,Ficedula albicollis,Aves,1980-1986,Gotland,Sweden,"57.47773216971117, 18.474997149605976",Y,natural,N,breeding,settlement,survival,N,gradient,Y,F,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.34,positive = disperser did better than non-disperser,NA,>0.1,0.1,NA,NA,table 4 page 315,previously unsuccessful
ARM,NA,Strickland 1991,Juvenile dispersal in Gray Jays: dominant brood member expels siblings from natal territory,NA,10.1139/z91-414,Canadian Journal of Zoology,p023,c057,s020,canada jay,Perisoreus canadensis,Perisoreus canadensis,Aves,1967-1980,Quebec City,Quebec,"46.81803750769713, -71.20897031768465",Y,natural,N,natal,settlement,reproductive success,N,gradient,J,B,13,nonbreeder,breeder,5,8,4.45,6.4,mean km,SD,4.157953,4.157523,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data from table 3 page 2938,
ARM,NA,Strickland 1991,Juvenile dispersal in Gray Jays: dominant brood member expels siblings from natal territory,NA,10.1139/z91-414,Canadian Journal of Zoology,p023,c058,s020,canada jay,Perisoreus canadensis,Perisoreus canadensis,Aves,1967-1980,Quebec City,Quebec,"46.81803750769713, -71.20897031768465",Y,natural,N,breeding,settlement,reproductive success,N,gradient,YA,B,3,nonbreeder,breeder,1,2,2.3,2.8,mean km,SD,NA,0,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data from table 3 page 2938,
ARM,NA,Strickland 1991,Juvenile dispersal in Gray Jays: dominant brood member expels siblings from natal territory,NA,10.1139/z91-414,Canadian Journal of Zoology,p023,c059,s020,canada jay,Perisoreus canadensis,Perisoreus canadensis,Aves,1967-1980,Quebec City,Quebec,"46.81803750769713, -71.20897031768465",Y,natural,N,natal,settlement,survival,N,contrast,J,B,413,non-disperser,disperser,157,256,48.40764331,14.453125,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,text page 2941,used minimum survival rate
ARM,NA,Montalvo & Potti 1992,Breeding Dispersal in Spanish Pied Flycatchers Ficedula hypoleuca,B,10.2307/3676681,Ornis Scandinavica,p024,c060,s021,pied flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Aves,1985-1990,Madrid,Spain,"40.41745231414527, -3.711134143603481",N,natural,N,breeding,settlement,clutch size,N,gradient,Y,F,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.08,negative = non-disperser did better than disperser,NA,NS,NA,NA,NA,table 1 page 492,
ARM,NA,Montalvo & Potti 1992,Breeding Dispersal in Spanish Pied Flycatchers Ficedula hypoleuca,B,10.2307/3676681,Ornis Scandinavica,p024,c060,s021,pied flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Aves,1985-1990,Madrid,Spain,"40.41745231414527, -3.711134143603481",N,natural,N,breeding,settlement,number of fledglings,N,gradient,Y,F,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.11,negative = non-disperser did better than disperser,NA,NS,NA,NA,NA,table 1 page 492,
ARM,NA,Montalvo & Potti 1992,Breeding Dispersal in Spanish Pied Flycatchers Ficedula hypoleuca,B,10.2307/3676681,Ornis Scandinavica,p024,c061,s021,pied flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Aves,1985-1990,Madrid,Spain,"40.41745231414527, -3.711134143603481",N,natural,N,breeding,settlement,clutch size,N,gradient,A,F,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.11,negative = non-disperser did better than disperser,NA,NS,NA,NA,NA,table 1 page 492,
ARM,NA,Montalvo & Potti 1992,Breeding Dispersal in Spanish Pied Flycatchers Ficedula hypoleuca,B,10.2307/3676681,Ornis Scandinavica,p024,c061,s021,pied flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Aves,1985-1990,Madrid,Spain,"40.41745231414527, -3.711134143603481",N,natural,N,breeding,settlement,number of fledglings,N,gradient,A,F,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.04,positive = disperser did better than non-disperser,NA,NS,NA,NA,NA,table 1 page 492,
ARM,NA,Montalvo & Potti 1992,Breeding Dispersal in Spanish Pied Flycatchers Ficedula hypoleuca,B,10.2307/3676681,Ornis Scandinavica,p024,c062,s021,pied flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Aves,1985-1990,Madrid,Spain,"40.41745231414527, -3.711134143603481",N,natural,N,breeding,settlement,clutch size,N,gradient,Y,M,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.19,negative = non-disperser did better than disperser,NA,NS,NA,NA,NA,table 1 page 492,"used the uncorrected value reported in table 1 (i.e., not the underlined values)"
ARM,NA,Montalvo & Potti 1992,Breeding Dispersal in Spanish Pied Flycatchers Ficedula hypoleuca,B,10.2307/3676681,Ornis Scandinavica,p024,c062,s021,pied flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Aves,1985-1990,Madrid,Spain,"40.41745231414527, -3.711134143603481",N,natural,N,breeding,settlement,number of fledglings,N,gradient,Y,M,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.1,negative = non-disperser did better than disperser,NA,NS,NA,NA,NA,table 1 page 492,"used the uncorrected value reported in table 1 (i.e., not the underlined values)"
ARM,NA,Montalvo & Potti 1992,Breeding Dispersal in Spanish Pied Flycatchers Ficedula hypoleuca,B,10.2307/3676681,Ornis Scandinavica,p024,c063,s021,pied flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Aves,1985-1990,Madrid,Spain,"40.41745231414527, -3.711134143603481",N,natural,N,breeding,settlement,clutch size,N,gradient,A,M,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,0.08,positive = disperser did better than non-disperser,NA,NS,NA,NA,NA,table 1 page 492,"used the uncorrected value reported in table 1 (i.e., not the underlined values)"
ARM,NA,Montalvo & Potti 1992,Breeding Dispersal in Spanish Pied Flycatchers Ficedula hypoleuca,B,10.2307/3676681,Ornis Scandinavica,p024,c063,s021,pied flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Aves,1985-1990,Madrid,Spain,"40.41745231414527, -3.711134143603481",N,natural,N,breeding,settlement,number of fledglings,N,gradient,A,M,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlation_method2,1,correlation,spearman rank correlation,r value,-0.2,negative = non-disperser did better than disperser,NA,NS,NA,NA,NA,table 1 page 492,"used the uncorrected value reported in table 1 (i.e., not the underlined values)"
ARM,NA,Schwartz & Franzmann 1992,"Dispersal and survival of subadult black bears from the Kenai Peninsula, Alaska",NA,10.2307/3808854,The Journal of Wildlife Management,p025,c064,s017,black bear,Ursus americanus,Ursus americanus,Mammalia,1979-1985,Kenai Peninsula,Alaska,"60.19910781829395, -150.03932580583646",Y,natural,N,natal,settlement,survival,N,contrast,YA,M,41,non-disperser,disperser,24,17,37.5,11.76470588,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1 page 428,"excluded ""lost contact""; combined females and males due to insufficient sample size; males: 3 natal, 0 survived, 16 dispersed, 2 survived; females: 21 natal, 9 survived, 1 dispersed, 0 survived"
ARM,NA,Glander 1992,Dispersal patterns in Costa Rican mantled howling monkeys,B,10.1007/BF02547826,International Journal of Primatology,p026,c065,s022,mantled howling monkey,Alouatta palliata,Alouatta palliata,Mammalia,1970-1989,Canas,Costa Rica,"10.426715929563441, -85.0956056638676",N,natural,N,natal,settlement,survival,N,contrast,Y,F,9,non-disperser,disperser,5,4,100,75,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raw data from table 1 page 420,"""died"" was tracked over lifetime, for here, I only considered an individual to have died if it did within 1 year of dispersering; combined females and males due to insufficient sample size; females: 1 natal, 1 survived, 2 dispersed, 2 survivived; males: 4 natal, 4 survived, 2 dispersed, 1 survived."
ARM,SN,Beaudette & Keppie 1992,Survival of dispersing spruce grouse,N,10.1139/z92-103,Canadian Journal of Zoology,p027,c066,s023,spruce grouse,Falcipennis canadensis,Falcipennis canadensis,Aves,1986-1987,Woman River,Ontario,"47.63723801229267, -82.49360573592504",Y,natural,N,natal,prospection,survival,N,gradient,J,F,50,non-disperser,disperser,3,47,33.33333333,65.95744681,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1 page 695,years combined
ARM,SN,Beaudette & Keppie 1992,Survival of dispersing spruce grouse,N,10.1139/z92-103,Canadian Journal of Zoology,p027,c067,s023,spruce grouse,Falcipennis canadensis,Falcipennis canadensis,Aves,1986-1987,Woman River,Ontario,"47.63723801229267, -82.49360573592504",Y,natural,N,natal,prospection,survival,N,gradient,J,M,56,non-disperser,disperser,12,44,66.66666667,36.36363636,percent alive,NA,NA,NA,percent_method1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 1 page 695,years combined 
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c070,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Ann Arbor,Michigan,"42.28093376076419, -83.74627324256167",Y,natural,C,breeding,settlement,number of fledglings,N,contrast,A,M,93,non-disperser,disperser,64,29,2.2,1.9,mean n of fledgings,SD,2.21,2.02,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 9 page 12,George Reserve
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c070,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Ann Arbor,Michigan,"42.28093376076419, -83.74627324256167",Y,natural,C,breeding,settlement,number of fledglings,N,contrast,A,M,120,non-disperser,disperser,90,30,2.03,2.3,mean n of fledgings,SD,2.07,1.78,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 9 page 12,George Reserve
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c070,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Ann Arbor,Michigan,"42.28093376076419, -83.74627324256167",Y,natural,C,breeding,settlement,lifetime breeding success,N,contrast,A,M,93,non-disperser,disperser,64,29,4.81,4.59,mean LBS,SD,4.93,5.42,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 10 page 13,George Reserve
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c070,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Ann Arbor,Michigan,"42.28093376076419, -83.74627324256167",Y,natural,C,breeding,settlement,lifetime breeding success,N,contrast,A,M,120,non-disperser,disperser,90,30,4.14,5.93,mean LBS,SD,3.85,4.59,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 10 page 13,George Reserve
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c071,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Niles,Michigan,"41.8290388777787, -86.25330752415597",Y,natural,C,breeding,settlement,number of fledglings,N,contrast,A,M,101,non-disperser,disperser,64,37,2.2,2.19,mean n of fledgings,SD,2.21,2.07,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 9 page 12,Niles
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c071,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Niles,Michigan,"41.8290388777787, -86.25330752415597",Y,natural,C,breeding,settlement,number of fledglings,N,contrast,A,M,109,non-disperser,disperser,90,19,2.32,2.3,mean n of fledgings,SD,2.07,2.21,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 9 page 12,Niles
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c071,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Niles,Michigan,"41.8290388777787, -86.25330752415597",Y,natural,C,breeding,settlement,lifetime breeding success,N,contrast,A,M,101,non-disperser,disperser,64,37,4.81,3.49,mean LBS,SD,4.93,3.55,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 10 page 13,Niles
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c071,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Niles,Michigan,"41.8290388777787, -86.25330752415597",Y,natural,C,breeding,settlement,lifetime breeding success,N,contrast,A,M,109,non-disperser,disperser,90,19,4.14,5.94,mean LBS,SD,3.85,6.49,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 10 page 13,Niles
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c072,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Niles,Michigan,"41.8290388777787, -86.25330752415597",Y,natural,N,breeding,settlement,number of fledglings,N,contrast,A,F,71,non-disperser,disperser,34,37,2.09,2.49,mean n of fledgings,SD,2.19,1.94,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 12 page 14,George Reserve
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c072,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Niles,Michigan,"41.8290388777787, -86.25330752415597",Y,natural,N,breeding,settlement,lifetime breeding success,N,contrast,A,F,71,non-disperser,disperser,34,37,6.32,6.27,mean LBS,SD,3.81,3.27,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 12 page 14,George Reserve
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c073,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Ann Arbor,Michigan,"42.26010157568967, -83.76841755853225",Y,natural,N,breeding,settlement,number of fledglings,N,contrast,A,F,134,non-disperser,disperser,73,61,2.17,2.14,mean n of fledgings,SD,2.03,1.98,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 12 page 14,Niles
ARM,NA,Paye & Payne 1993,Breeding Dispersal in Indigo Buntings: Circumstances and Consequences for Breeding Success and Population Structure,N,10.2307/1369382,The Condor,p028,c073,s024,indigo bunting,Passerina cyanea,Passerina cyanea,Aves,1979-1985,Ann Arbor,Michigan,"42.26010157568967, -83.76841755853225",Y,natural,N,breeding,settlement,lifetime breeding success,N,contrast,A,F,133,non-disperser,disperser,72,61,5.84,5.63,mean LBS,SD,4.11,4.78,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table 12 page 14,Niles
ARM,NA,Breitenmoser et al. 1993,Spatial organization and recruitment of lynx (Lynx lynx) in a re-introduced population in the Swiss Jura Mountains,NA,10.1111/j.1469-7998.1993.tb01931.x,Journal of Zoology,p029,c074,s025,eurasian lynx,Lynx lynx,Lynx lynx,Mammalia,1988-1991,Jura Mountains,Switzerland,"46.93118113815403, 6.39747926944005",N,natural,N,natal,prospection,survival,N,gradient,Y,B,5,dead,alive,4,1,27.25,64,mean km,SD,12.03813385,NA,mean_method,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,table IV page 459,"used max distance for F20 (still alive); emailed on Feb 14, 2024"
ARM,SN,Wiggett & Boag 1993,"Annual reproductive success in three cohorts of Columbian ground squirrels: founding immigrants, subsequent immigrants, and natal residents",N,10.1139/z93-223,Canadian Journal of Zoology,p030,c075,s026,colombian ground squirrel,Spermophilus columbianus,Urocitellus columbianus,Mammalia,1983-1991,Sheep River Provincial Park,Alberta,"50.63025054930596, -114.68333422041317",Y,natural,N,natal,settlement,number of juveniles at emergence,N,contrast,A,F,119,non-disperser,disperser,105,14,3.3,2.57,mean n of juveniles,NA,NA,NA,count_method,1,NA,NA,NA,NA,NA,NA,<0.01,0.01,NA,NA,table 1 page 1579,subsequent immigrants used
ARM,SN,Wiggett & Boag 1993,"Annual reproductive success in three cohorts of Columbian ground squirrels: founding immigrants, subsequent immigrants, and natal residents",N,10.1139/z93-223,Canadian Journal of Zoology,p030,c075,s026,colombian ground squirrel,Spermophilus columbianus,Urocitellus columbianus,Mammalia,1983-1991,Sheep River Provincial Park,Alberta,"50.63025054930596, -114.68333422041317",Y,natural,N,natal,settlement,number of yearlings at emigration,N,contrast,A,F,119,non-disperser,disperser,105,14,2.03,1,mean n of yearlings,NA,NA,NA,count_method,1,NA,NA,NA,NA,NA,NA,<0.01,0.01,NA,NA,table 1 page 1579,subsequent immigrants used
